"Gene" "gene_type" 
"Rv0554" FALSE
"Rv0557" FALSE
"Rv0558" FALSE
"Rv0559c" FALSE
"Rv0560c" FALSE
"Rv0561c" FALSE
"Rv0562" FALSE
"Rv0563" FALSE
"Rv0564c" FALSE
"Rv0565c" FALSE
"Rv0566c" FALSE
"Rv0567" FALSE
"Rv0568" FALSE
"Rv0569" FALSE
"Rv0570" FALSE
"Rv0571c" FALSE
"Rv0572c" FALSE
"Rv0573c" FALSE
"Rv0574c" FALSE
"Rv0575c" FALSE
"Rv0576" FALSE
"Rv0577" FALSE
"Rv0578c" FALSE
"Rv0579" FALSE
"Rv0580c" FALSE
"Rv0581" FALSE
"Rv0582" FALSE
"Rv0583c" FALSE
"Rv0584" FALSE
"Rv0585c" FALSE
"Rv0586" FALSE
"Rv0587" FALSE
"Rv0588" FALSE
"Rv0589" FALSE
"Rv0590" FALSE
"Rv0590A" FALSE
"Rv0591" FALSE
"Rv0592" FALSE
"Rv0593" FALSE
"Rv0594" FALSE
"Rv0595c" FALSE
"Rv0596c" FALSE
"Rv0597c" FALSE
"Rv0598c" FALSE
"Rv0599c" FALSE
"Rv0600c" FALSE
"Rv0601c" FALSE
"Rv0602c" FALSE
"Rv0604" FALSE
"Rv0605" FALSE
"Rv0606" FALSE
"Rv0607" FALSE
"Rv0608" FALSE
"Rv0609" FALSE
"Rv0609A" FALSE
"Rv0610c" FALSE
"Rv0611c" FALSE
"Rv0612" FALSE
"Rv0613c" FALSE
"Rv0614" FALSE
"Rv0615" FALSE
"Rv0616c" FALSE
"Rv0617" FALSE
"Rv0618" TRUE
"Rv0619" FALSE
"Rv0620" FALSE
"Rv0621" FALSE
"Rv0622" FALSE
"Rv0623" FALSE
"Rv0624" FALSE
"Rv0625c" FALSE
"Rv0626" FALSE
"Rv0628c" FALSE
"Rv0629c" FALSE
"Rv0630c" FALSE
"Rv0631c" FALSE
"Rv0632c" FALSE
"Rv0633c" FALSE
"Rv0634A" FALSE
"Rv0634B" FALSE
"Rv0634c" FALSE
"Rv0636" FALSE
"Rv0637" FALSE
"Rv0639" FALSE
"Rv0640" FALSE
"Rv0641" FALSE
"Rv0642c" FALSE
"Rv0643c" FALSE
"Rv0644c" FALSE
"Rv0645c" FALSE
"Rv0646c" FALSE
"Rv0647c" FALSE
"Rv0648" FALSE
"Rv0649" FALSE
"Rv0650" FALSE
"Rv0652" FALSE
"Rv0653c" FALSE
"Rv0654" FALSE
"Rv0655" FALSE
"Rv0656c" FALSE
"Rv0657c" FALSE
"Rv0658c" FALSE
"Rv0659c" FALSE
"Rv0660c" FALSE
"Rv0661c" FALSE
"Rv0662c" FALSE
"Rv0663" FALSE
"Rv0664" FALSE
"Rv0665" FALSE
"Rv0667" FALSE
"Rv0668" FALSE
"Rv0669c" FALSE
"Rv0670" FALSE
"Rv0671" FALSE
"Rv0672" FALSE
"Rv0673" FALSE
"Rv0674" FALSE
"Rv0675" FALSE
"Rv0676c" FALSE
"Rv0677c" FALSE
"Rv0678" FALSE
"Rv0679c" FALSE
"Rv0680c" FALSE
"Rv0681" FALSE
"Rv0684" FALSE
"Rv0685" FALSE
"Rv0686" FALSE
"Rv0687" FALSE
"Rv0688" FALSE
"Rv0689c" FALSE
"Rv0690c" FALSE
"Rv0691c" FALSE
"Rv0692" FALSE
"Rv0693" FALSE
"Rv0694" FALSE
"Rv0695" FALSE
"Rv0696" FALSE
"Rv0697" FALSE
"Rv0698" FALSE
"Rv0700" FALSE
"Rv0707" FALSE
"Rv0708" FALSE
